GPU Memory Track | 30-Apr-23-11:05:15 | Total Tensor Used Memory:376.7  Mb Total Allocated Memory:422.0  Mb

+ | 9 * Size:()                   | Memory: 3.4332 M | <class 'torch.Tensor'> | torch.float32
+ | 248 * Size:(128, 256, 8, 8)     | Memory: 1984.0 M | <class 'torch.Tensor'> | torch.float32
+ | 63 * Size:(128, 3, 32, 32)     | Memory: 94.5 M | <class 'torch.Tensor'> | torch.float32
+ | 310 * Size:(128, 64, 32, 32)    | Memory: 9920.0 M | <class 'torch.Tensor'> | torch.float32
+ | 62 * Size:(128, 512, 1, 1)     | Memory: 15.5 M | <class 'torch.Tensor'> | torch.float32
- | 62 * Size:(128, 3, 32, 32)     | Memory: 93.0 M | <class 'torch.Tensor'> | torch.float32
- | 305 * Size:(128, 64, 32, 32)    | Memory: 9760.0 M | <class 'torch.Tensor'> | torch.float32
- | 244 * Size:(128, 256, 8, 8)     | Memory: 1952.0 M | <class 'torch.Tensor'> | torch.float32
- | 61 * Size:(128, 512)           | Memory: 15.25 M | <class 'torch.Tensor'> | torch.float32
- | 244 * Size:(128, 128, 16, 16)   | Memory: 3904.0 M | <class 'torch.Tensor'> | torch.float32
- | 183 * Size:(128, 512, 4, 4)     | Memory: 732.0 M | <class 'torch.Tensor'> | torch.float32
- | 61 * Size:(128, 512, 1, 1)     | Memory: 15.25 M | <class 'torch.Tensor'> | torch.float32

At ./trainer/trainer.py line 116: forward             Total Tensor Used Memory:16889.5Mb Total Allocated Memory:16906.7Mb

+ | 189 * Size:(128, 512, 4, 4)     | Memory: 756.0 M | <class 'torch.Tensor'> | torch.float32
+ | 64 * Size:(128, 3, 32, 32)     | Memory: 96.0 M | <class 'torch.Tensor'> | torch.float32
+ | 252 * Size:(128, 256, 8, 8)     | Memory: 2016.0 M | <class 'torch.Tensor'> | torch.float32
+ | 63 * Size:(128, 512)           | Memory: 15.75 M | <class 'torch.Tensor'> | torch.float32
+ | 315 * Size:(128, 64, 32, 32)    | Memory: 10080. M | <class 'torch.Tensor'> | torch.float32
+ | 63 * Size:(128, 512, 1, 1)     | Memory: 15.75 M | <class 'torch.Tensor'> | torch.float32
+ | 252 * Size:(128, 128, 16, 16)   | Memory: 4032.0 M | <class 'torch.Tensor'> | torch.float32
- | 248 * Size:(128, 128, 16, 16)   | Memory: 3968.0 M | <class 'torch.Tensor'> | torch.float32
- | 62 * Size:(128, 512)           | Memory: 15.5 M | <class 'torch.Tensor'> | torch.float32
- | 186 * Size:(128, 512, 4, 4)     | Memory: 744.0 M | <class 'torch.Tensor'> | torch.float32
- | 248 * Size:(128, 256, 8, 8)     | Memory: 1984.0 M | <class 'torch.Tensor'> | torch.float32
- | 63 * Size:(128, 3, 32, 32)     | Memory: 94.5 M | <class 'torch.Tensor'> | torch.float32
- | 310 * Size:(128, 64, 32, 32)    | Memory: 9920.0 M | <class 'torch.Tensor'> | torch.float32
- | 62 * Size:(128, 512, 1, 1)     | Memory: 15.5 M | <class 'torch.Tensor'> | torch.float32

At ./trainer/trainer.py line 116: forward             Total Tensor Used Memory:17159.5Mb Total Allocated Memory:17177.0Mb

+ | 192 * Size:(128, 512, 4, 4)     | Memory: 768.0 M | <class 'torch.Tensor'> | torch.float32
+ | 320 * Size:(128, 64, 32, 32)    | Memory: 10240. M | <class 'torch.Tensor'> | torch.float32
+ | 64 * Size:(128, 512, 1, 1)     | Memory: 16.0 M | <class 'torch.Tensor'> | torch.float32
+ | 256 * Size:(128, 256, 8, 8)     | Memory: 2048.0 M | <class 'torch.Tensor'> | torch.float32
+ | 65 * Size:(128, 3, 32, 32)     | Memory: 97.5 M | <class 'torch.Tensor'> | torch.float32
+ | 256 * Size:(128, 128, 16, 16)   | Memory: 4096.0 M | <class 'torch.Tensor'> | torch.float32
+ | 64 * Size:(128, 512)           | Memory: 16.0 M | <class 'torch.Tensor'> | torch.float32
- | 189 * Size:(128, 512, 4, 4)     | Memory: 756.0 M | <class 'torch.Tensor'> | torch.float32
- | 64 * Size:(128, 3, 32, 32)     | Memory: 96.0 M | <class 'torch.Tensor'> | torch.float32
- | 252 * Size:(128, 256, 8, 8)     | Memory: 2016.0 M | <class 'torch.Tensor'> | torch.float32
- | 63 * Size:(128, 512)           | Memory: 15.75 M | <class 'torch.Tensor'> | torch.float32
- | 315 * Size:(128, 64, 32, 32)    | Memory: 10080. M | <class 'torch.Tensor'> | torch.float32
- | 63 * Size:(128, 512, 1, 1)     | Memory: 15.75 M | <class 'torch.Tensor'> | torch.float32
- | 252 * Size:(128, 128, 16, 16)   | Memory: 4032.0 M | <class 'torch.Tensor'> | torch.float32

At ./trainer/trainer.py line 116: forward             Total Tensor Used Memory:17429.5Mb Total Allocated Memory:17447.2Mb

+ | 260 * Size:(128, 128, 16, 16)   | Memory: 4160.0 M | <class 'torch.Tensor'> | torch.float32
+ | 325 * Size:(128, 64, 32, 32)    | Memory: 10400. M | <class 'torch.Tensor'> | torch.float32
+ | 65 * Size:(128, 512)           | Memory: 16.25 M | <class 'torch.Tensor'> | torch.float32
+ | 195 * Size:(128, 512, 4, 4)     | Memory: 780.0 M | <class 'torch.Tensor'> | torch.float32
+ | 260 * Size:(128, 256, 8, 8)     | Memory: 2080.0 M | <class 'torch.Tensor'> | torch.float32
+ | 66 * Size:(128, 3, 32, 32)     | Memory: 99.0 M | <class 'torch.Tensor'> | torch.float32
+ | 65 * Size:(128, 512, 1, 1)     | Memory: 16.25 M | <class 'torch.Tensor'> | torch.float32
- | 192 * Size:(128, 512, 4, 4)     | Memory: 768.0 M | <class 'torch.Tensor'> | torch.float32
- | 320 * Size:(128, 64, 32, 32)    | Memory: 10240. M | <class 'torch.Tensor'> | torch.float32
- | 64 * Size:(128, 512, 1, 1)     | Memory: 16.0 M | <class 'torch.Tensor'> | torch.float32
- | 256 * Size:(128, 256, 8, 8)     | Memory: 2048.0 M | <class 'torch.Tensor'> | torch.float32
- | 65 * Size:(128, 3, 32, 32)     | Memory: 97.5 M | <class 'torch.Tensor'> | torch.float32
- | 256 * Size:(128, 128, 16, 16)   | Memory: 4096.0 M | <class 'torch.Tensor'> | torch.float32
- | 64 * Size:(128, 512)           | Memory: 16.0 M | <class 'torch.Tensor'> | torch.float32

At ./trainer/trainer.py line 116: forward             Total Tensor Used Memory:17699.5Mb Total Allocated Memory:17717.5Mb

+ | 66 * Size:(128, 512, 1, 1)     | Memory: 16.5 M | <class 'torch.Tensor'> | torch.float32
+ | 264 * Size:(128, 256, 8, 8)     | Memory: 2112.0 M | <class 'torch.Tensor'> | torch.float32
+ | 330 * Size:(128, 64, 32, 32)    | Memory: 10560. M | <class 'torch.Tensor'> | torch.float32
+ | 67 * Size:(128, 3, 32, 32)     | Memory: 100.5 M | <class 'torch.Tensor'> | torch.float32
+ | 66 * Size:(128, 512)           | Memory: 16.5 M | <class 'torch.Tensor'> | torch.float32
+ | 198 * Size:(128, 512, 4, 4)     | Memory: 792.0 M | <class 'torch.Tensor'> | torch.float32
+ | 264 * Size:(128, 128, 16, 16)   | Memory: 4224.0 M | <class 'torch.Tensor'> | torch.float32
- | 260 * Size:(128, 128, 16, 16)   | Memory: 4160.0 M | <class 'torch.Tensor'> | torch.float32
- | 325 * Size:(128, 64, 32, 32)    | Memory: 10400. M | <class 'torch.Tensor'> | torch.float32
- | 65 * Size:(128, 512)           | Memory: 16.25 M | <class 'torch.Tensor'> | torch.float32
- | 195 * Size:(128, 512, 4, 4)     | Memory: 780.0 M | <class 'torch.Tensor'> | torch.float32
- | 260 * Size:(128, 256, 8, 8)     | Memory: 2080.0 M | <class 'torch.Tensor'> | torch.float32
- | 66 * Size:(128, 3, 32, 32)     | Memory: 99.0 M | <class 'torch.Tensor'> | torch.float32
- | 65 * Size:(128, 512, 1, 1)     | Memory: 16.25 M | <class 'torch.Tensor'> | torch.float32

At ./trainer/trainer.py line 116: forward             Total Tensor Used Memory:17969.5Mb Total Allocated Memory:17987.7Mb

+ | 67 * Size:(128, 512)           | Memory: 16.75 M | <class 'torch.Tensor'> | torch.float32
+ | 335 * Size:(128, 64, 32, 32)    | Memory: 10720. M | <class 'torch.Tensor'> | torch.float32
+ | 268 * Size:(128, 128, 16, 16)   | Memory: 4288.0 M | <class 'torch.Tensor'> | torch.float32
+ | 268 * Size:(128, 256, 8, 8)     | Memory: 2144.0 M | <class 'torch.Tensor'> | torch.float32
+ | 68 * Size:(128, 3, 32, 32)     | Memory: 102.0 M | <class 'torch.Tensor'> | torch.float32
+ | 67 * Size:(128, 512, 1, 1)     | Memory: 16.75 M | <class 'torch.Tensor'> | torch.float32
+ | 201 * Size:(128, 512, 4, 4)     | Memory: 804.0 M | <class 'torch.Tensor'> | torch.float32
- | 66 * Size:(128, 512, 1, 1)     | Memory: 16.5 M | <class 'torch.Tensor'> | torch.float32
- | 264 * Size:(128, 256, 8, 8)     | Memory: 2112.0 M | <class 'torch.Tensor'> | torch.float32
- | 330 * Size:(128, 64, 32, 32)    | Memory: 10560. M | <class 'torch.Tensor'> | torch.float32
- | 67 * Size:(128, 3, 32, 32)     | Memory: 100.5 M | <class 'torch.Tensor'> | torch.float32
- | 66 * Size:(128, 512)           | Memory: 16.5 M | <class 'torch.Tensor'> | torch.float32
- | 198 * Size:(128, 512, 4, 4)     | Memory: 792.0 M | <class 'torch.Tensor'> | torch.float32
- | 264 * Size:(128, 128, 16, 16)   | Memory: 4224.0 M | <class 'torch.Tensor'> | torch.float32

At ./trainer/trainer.py line 116: forward             Total Tensor Used Memory:18239.5Mb Total Allocated Memory:18258.0Mb

+ | 340 * Size:(128, 64, 32, 32)    | Memory: 10880. M | <class 'torch.Tensor'> | torch.float32
+ | 68 * Size:(128, 512)           | Memory: 17.0 M | <class 'torch.Tensor'> | torch.float32
+ | 272 * Size:(128, 128, 16, 16)   | Memory: 4352.0 M | <class 'torch.Tensor'> | torch.float32
+ | 69 * Size:(128, 3, 32, 32)     | Memory: 103.5 M | <class 'torch.Tensor'> | torch.float32
+ | 68 * Size:(128, 512, 1, 1)     | Memory: 17.0 M | <class 'torch.Tensor'> | torch.float32
+ | 204 * Size:(128, 512, 4, 4)     | Memory: 816.0 M | <class 'torch.Tensor'> | torch.float32
+ | 272 * Size:(128, 256, 8, 8)     | Memory: 2176.0 M | <class 'torch.Tensor'> | torch.float32
- | 67 * Size:(128, 512)           | Memory: 16.75 M | <class 'torch.Tensor'> | torch.float32
- | 335 * Size:(128, 64, 32, 32)    | Memory: 10720. M | <class 'torch.Tensor'> | torch.float32
- | 268 * Size:(128, 128, 16, 16)   | Memory: 4288.0 M | <class 'torch.Tensor'> | torch.float32
- | 268 * Size:(128, 256, 8, 8)     | Memory: 2144.0 M | <class 'torch.Tensor'> | torch.float32
- | 68 * Size:(128, 3, 32, 32)     | Memory: 102.0 M | <class 'torch.Tensor'> | torch.float32
- | 67 * Size:(128, 512, 1, 1)     | Memory: 16.75 M | <class 'torch.Tensor'> | torch.float32
- | 201 * Size:(128, 512, 4, 4)     | Memory: 804.0 M | <class 'torch.Tensor'> | torch.float32

At ./trainer/trainer.py line 116: forward             Total Tensor Used Memory:18509.5Mb Total Allocated Memory:18528.2Mb

+ | 276 * Size:(128, 256, 8, 8)     | Memory: 2208.0 M | <class 'torch.Tensor'> | torch.float32
+ | 207 * Size:(128, 512, 4, 4)     | Memory: 828.0 M | <class 'torch.Tensor'> | torch.float32
+ | 70 * Size:(128, 3, 32, 32)     | Memory: 105.0 M | <class 'torch.Tensor'> | torch.float32
+ | 345 * Size:(128, 64, 32, 32)    | Memory: 11040. M | <class 'torch.Tensor'> | torch.float32
+ | 69 * Size:(128, 512, 1, 1)     | Memory: 17.25 M | <class 'torch.Tensor'> | torch.float32
+ | 276 * Size:(128, 128, 16, 16)   | Memory: 4416.0 M | <class 'torch.Tensor'> | torch.float32
+ | 69 * Size:(128, 512)           | Memory: 17.25 M | <class 'torch.Tensor'> | torch.float32
- | 340 * Size:(128, 64, 32, 32)    | Memory: 10880. M | <class 'torch.Tensor'> | torch.float32
- | 68 * Size:(128, 512)           | Memory: 17.0 M | <class 'torch.Tensor'> | torch.float32
- | 272 * Size:(128, 128, 16, 16)   | Memory: 4352.0 M | <class 'torch.Tensor'> | torch.float32
- | 69 * Size:(128, 3, 32, 32)     | Memory: 103.5 M | <class 'torch.Tensor'> | torch.float32
- | 68 * Size:(128, 512, 1, 1)     | Memory: 17.0 M | <class 'torch.Tensor'> | torch.float32
- | 204 * Size:(128, 512, 4, 4)     | Memory: 816.0 M | <class 'torch.Tensor'> | torch.float32
- | 272 * Size:(128, 256, 8, 8)     | Memory: 2176.0 M | <class 'torch.Tensor'> | torch.float32

At ./trainer/trainer.py line 116: forward             Total Tensor Used Memory:18779.5Mb Total Allocated Memory:18798.5Mb

+ | 71 * Size:(128, 3, 32, 32)     | Memory: 106.5 M | <class 'torch.Tensor'> | torch.float32
+ | 350 * Size:(128, 64, 32, 32)    | Memory: 11200. M | <class 'torch.Tensor'> | torch.float32
+ | 210 * Size:(128, 512, 4, 4)     | Memory: 840.0 M | <class 'torch.Tensor'> | torch.float32
+ | 280 * Size:(128, 128, 16, 16)   | Memory: 4480.0 M | <class 'torch.Tensor'> | torch.float32
+ | 280 * Size:(128, 256, 8, 8)     | Memory: 2240.0 M | <class 'torch.Tensor'> | torch.float32
+ | 70 * Size:(128, 512, 1, 1)     | Memory: 17.5 M | <class 'torch.Tensor'> | torch.float32
+ | 70 * Size:(128, 512)           | Memory: 17.5 M | <class 'torch.Tensor'> | torch.float32
- | 276 * Size:(128, 256, 8, 8)     | Memory: 2208.0 M | <class 'torch.Tensor'> | torch.float32
- | 207 * Size:(128, 512, 4, 4)     | Memory: 828.0 M | <class 'torch.Tensor'> | torch.float32
- | 70 * Size:(128, 3, 32, 32)     | Memory: 105.0 M | <class 'torch.Tensor'> | torch.float32
- | 345 * Size:(128, 64, 32, 32)    | Memory: 11040. M | <class 'torch.Tensor'> | torch.float32
- | 69 * Size:(128, 512, 1, 1)     | Memory: 17.25 M | <class 'torch.Tensor'> | torch.float32
- | 276 * Size:(128, 128, 16, 16)   | Memory: 4416.0 M | <class 'torch.Tensor'> | torch.float32
- | 69 * Size:(128, 512)           | Memory: 17.25 M | <class 'torch.Tensor'> | torch.float32

At ./trainer/trainer.py line 116: forward             Total Tensor Used Memory:19049.5Mb Total Allocated Memory:19068.7Mb

+ | 284 * Size:(128, 256, 8, 8)     | Memory: 2272.0 M | <class 'torch.Tensor'> | torch.float32
+ | 72 * Size:(128, 3, 32, 32)     | Memory: 108.0 M | <class 'torch.Tensor'> | torch.float32
+ | 71 * Size:(128, 512, 1, 1)     | Memory: 17.75 M | <class 'torch.Tensor'> | torch.float32
+ | 71 * Size:(128, 512)           | Memory: 17.75 M | <class 'torch.Tensor'> | torch.float32
+ | 355 * Size:(128, 64, 32, 32)    | Memory: 11360. M | <class 'torch.Tensor'> | torch.float32
+ | 213 * Size:(128, 512, 4, 4)     | Memory: 852.0 M | <class 'torch.Tensor'> | torch.float32
+ | 284 * Size:(128, 128, 16, 16)   | Memory: 4544.0 M | <class 'torch.Tensor'> | torch.float32
- | 71 * Size:(128, 3, 32, 32)     | Memory: 106.5 M | <class 'torch.Tensor'> | torch.float32
- | 350 * Size:(128, 64, 32, 32)    | Memory: 11200. M | <class 'torch.Tensor'> | torch.float32
- | 210 * Size:(128, 512, 4, 4)     | Memory: 840.0 M | <class 'torch.Tensor'> | torch.float32
- | 280 * Size:(128, 128, 16, 16)   | Memory: 4480.0 M | <class 'torch.Tensor'> | torch.float32
- | 280 * Size:(128, 256, 8, 8)     | Memory: 2240.0 M | <class 'torch.Tensor'> | torch.float32
- | 70 * Size:(128, 512, 1, 1)     | Memory: 17.5 M | <class 'torch.Tensor'> | torch.float32
- | 70 * Size:(128, 512)           | Memory: 17.5 M | <class 'torch.Tensor'> | torch.float32

At ./trainer/trainer.py line 116: forward             Total Tensor Used Memory:19319.5Mb Total Allocated Memory:19339.0Mb

+ | 72 * Size:(128, 512, 1, 1)     | Memory: 18.0 M | <class 'torch.Tensor'> | torch.float32
+ | 288 * Size:(128, 256, 8, 8)     | Memory: 2304.0 M | <class 'torch.Tensor'> | torch.float32
+ | 360 * Size:(128, 64, 32, 32)    | Memory: 11520. M | <class 'torch.Tensor'> | torch.float32
+ | 288 * Size:(128, 128, 16, 16)   | Memory: 4608.0 M | <class 'torch.Tensor'> | torch.float32
+ | 216 * Size:(128, 512, 4, 4)     | Memory: 864.0 M | <class 'torch.Tensor'> | torch.float32
+ | 73 * Size:(128, 3, 32, 32)     | Memory: 109.5 M | <class 'torch.Tensor'> | torch.float32
+ | 72 * Size:(128, 512)           | Memory: 18.0 M | <class 'torch.Tensor'> | torch.float32
- | 284 * Size:(128, 256, 8, 8)     | Memory: 2272.0 M | <class 'torch.Tensor'> | torch.float32
- | 72 * Size:(128, 3, 32, 32)     | Memory: 108.0 M | <class 'torch.Tensor'> | torch.float32
- | 71 * Size:(128, 512, 1, 1)     | Memory: 17.75 M | <class 'torch.Tensor'> | torch.float32
- | 71 * Size:(128, 512)           | Memory: 17.75 M | <class 'torch.Tensor'> | torch.float32
- | 355 * Size:(128, 64, 32, 32)    | Memory: 11360. M | <class 'torch.Tensor'> | torch.float32
- | 213 * Size:(128, 512, 4, 4)     | Memory: 852.0 M | <class 'torch.Tensor'> | torch.float32
- | 284 * Size:(128, 128, 16, 16)   | Memory: 4544.0 M | <class 'torch.Tensor'> | torch.float32

At ./trainer/trainer.py line 116: forward             Total Tensor Used Memory:19589.5Mb Total Allocated Memory:19609.2Mb

+ | 292 * Size:(128, 128, 16, 16)   | Memory: 4672.0 M | <class 'torch.Tensor'> | torch.float32
+ | 74 * Size:(128, 3, 32, 32)     | Memory: 111.0 M | <class 'torch.Tensor'> | torch.float32
+ | 219 * Size:(128, 512, 4, 4)     | Memory: 876.0 M | <class 'torch.Tensor'> | torch.float32
+ | 365 * Size:(128, 64, 32, 32)    | Memory: 11680. M | <class 'torch.Tensor'> | torch.float32
+ | 73 * Size:(128, 512)           | Memory: 18.25 M | <class 'torch.Tensor'> | torch.float32
+ | 73 * Size:(128, 512, 1, 1)     | Memory: 18.25 M | <class 'torch.Tensor'> | torch.float32
+ | 292 * Size:(128, 256, 8, 8)     | Memory: 2336.0 M | <class 'torch.Tensor'> | torch.float32
- | 72 * Size:(128, 512, 1, 1)     | Memory: 18.0 M | <class 'torch.Tensor'> | torch.float32
- | 288 * Size:(128, 256, 8, 8)     | Memory: 2304.0 M | <class 'torch.Tensor'> | torch.float32
- | 360 * Size:(128, 64, 32, 32)    | Memory: 11520. M | <class 'torch.Tensor'> | torch.float32
- | 288 * Size:(128, 128, 16, 16)   | Memory: 4608.0 M | <class 'torch.Tensor'> | torch.float32
- | 216 * Size:(128, 512, 4, 4)     | Memory: 864.0 M | <class 'torch.Tensor'> | torch.float32
- | 73 * Size:(128, 3, 32, 32)     | Memory: 109.5 M | <class 'torch.Tensor'> | torch.float32
- | 72 * Size:(128, 512)           | Memory: 18.0 M | <class 'torch.Tensor'> | torch.float32

At ./trainer/trainer.py line 116: forward             Total Tensor Used Memory:19859.5Mb Total Allocated Memory:19879.5Mb

+ | 296 * Size:(128, 256, 8, 8)     | Memory: 2368.0 M | <class 'torch.Tensor'> | torch.float32
+ | 222 * Size:(128, 512, 4, 4)     | Memory: 888.0 M | <class 'torch.Tensor'> | torch.float32
+ | 370 * Size:(128, 64, 32, 32)    | Memory: 11840. M | <class 'torch.Tensor'> | torch.float32
+ | 75 * Size:(128, 3, 32, 32)     | Memory: 112.5 M | <class 'torch.Tensor'> | torch.float32
+ | 74 * Size:(128, 512)           | Memory: 18.5 M | <class 'torch.Tensor'> | torch.float32
+ | 74 * Size:(128, 512, 1, 1)     | Memory: 18.5 M | <class 'torch.Tensor'> | torch.float32
+ | 296 * Size:(128, 128, 16, 16)   | Memory: 4736.0 M | <class 'torch.Tensor'> | torch.float32
- | 292 * Size:(128, 128, 16, 16)   | Memory: 4672.0 M | <class 'torch.Tensor'> | torch.float32
- | 74 * Size:(128, 3, 32, 32)     | Memory: 111.0 M | <class 'torch.Tensor'> | torch.float32
- | 219 * Size:(128, 512, 4, 4)     | Memory: 876.0 M | <class 'torch.Tensor'> | torch.float32
- | 365 * Size:(128, 64, 32, 32)    | Memory: 11680. M | <class 'torch.Tensor'> | torch.float32
- | 73 * Size:(128, 512)           | Memory: 18.25 M | <class 'torch.Tensor'> | torch.float32
- | 73 * Size:(128, 512, 1, 1)     | Memory: 18.25 M | <class 'torch.Tensor'> | torch.float32
- | 292 * Size:(128, 256, 8, 8)     | Memory: 2336.0 M | <class 'torch.Tensor'> | torch.float32

At ./trainer/trainer.py line 116: forward             Total Tensor Used Memory:20129.5Mb Total Allocated Memory:20149.7Mb

+ | 300 * Size:(128, 128, 16, 16)   | Memory: 4800.0 M | <class 'torch.Tensor'> | torch.float32
+ | 75 * Size:(128, 512)           | Memory: 18.75 M | <class 'torch.Tensor'> | torch.float32
+ | 375 * Size:(128, 64, 32, 32)    | Memory: 12000. M | <class 'torch.Tensor'> | torch.float32
+ | 75 * Size:(128, 512, 1, 1)     | Memory: 18.75 M | <class 'torch.Tensor'> | torch.float32
+ | 300 * Size:(128, 256, 8, 8)     | Memory: 2400.0 M | <class 'torch.Tensor'> | torch.float32
+ | 225 * Size:(128, 512, 4, 4)     | Memory: 900.0 M | <class 'torch.Tensor'> | torch.float32
+ | 76 * Size:(128, 3, 32, 32)     | Memory: 114.0 M | <class 'torch.Tensor'> | torch.float32
- | 296 * Size:(128, 256, 8, 8)     | Memory: 2368.0 M | <class 'torch.Tensor'> | torch.float32
- | 222 * Size:(128, 512, 4, 4)     | Memory: 888.0 M | <class 'torch.Tensor'> | torch.float32
- | 370 * Size:(128, 64, 32, 32)    | Memory: 11840. M | <class 'torch.Tensor'> | torch.float32
- | 75 * Size:(128, 3, 32, 32)     | Memory: 112.5 M | <class 'torch.Tensor'> | torch.float32
- | 74 * Size:(128, 512)           | Memory: 18.5 M | <class 'torch.Tensor'> | torch.float32
- | 74 * Size:(128, 512, 1, 1)     | Memory: 18.5 M | <class 'torch.Tensor'> | torch.float32
- | 296 * Size:(128, 128, 16, 16)   | Memory: 4736.0 M | <class 'torch.Tensor'> | torch.float32

At ./trainer/trainer.py line 116: forward             Total Tensor Used Memory:20399.5Mb Total Allocated Memory:20420.0Mb

+ | 304 * Size:(128, 128, 16, 16)   | Memory: 4864.0 M | <class 'torch.Tensor'> | torch.float32
+ | 380 * Size:(128, 64, 32, 32)    | Memory: 12160. M | <class 'torch.Tensor'> | torch.float32
+ | 76 * Size:(128, 512)           | Memory: 19.0 M | <class 'torch.Tensor'> | torch.float32
+ | 77 * Size:(128, 3, 32, 32)     | Memory: 115.5 M | <class 'torch.Tensor'> | torch.float32
+ | 228 * Size:(128, 512, 4, 4)     | Memory: 912.0 M | <class 'torch.Tensor'> | torch.float32
+ | 76 * Size:(128, 512, 1, 1)     | Memory: 19.0 M | <class 'torch.Tensor'> | torch.float32
+ | 304 * Size:(128, 256, 8, 8)     | Memory: 2432.0 M | <class 'torch.Tensor'> | torch.float32
- | 300 * Size:(128, 128, 16, 16)   | Memory: 4800.0 M | <class 'torch.Tensor'> | torch.float32
- | 75 * Size:(128, 512)           | Memory: 18.75 M | <class 'torch.Tensor'> | torch.float32
- | 375 * Size:(128, 64, 32, 32)    | Memory: 12000. M | <class 'torch.Tensor'> | torch.float32
- | 75 * Size:(128, 512, 1, 1)     | Memory: 18.75 M | <class 'torch.Tensor'> | torch.float32
- | 300 * Size:(128, 256, 8, 8)     | Memory: 2400.0 M | <class 'torch.Tensor'> | torch.float32
- | 225 * Size:(128, 512, 4, 4)     | Memory: 900.0 M | <class 'torch.Tensor'> | torch.float32
- | 76 * Size:(128, 3, 32, 32)     | Memory: 114.0 M | <class 'torch.Tensor'> | torch.float32

At ./trainer/trainer.py line 116: forward             Total Tensor Used Memory:20669.5Mb Total Allocated Memory:20690.2Mb

+ | 231 * Size:(128, 512, 4, 4)     | Memory: 924.0 M | <class 'torch.Tensor'> | torch.float32
+ | 77 * Size:(128, 512, 1, 1)     | Memory: 19.25 M | <class 'torch.Tensor'> | torch.float32
+ | 308 * Size:(128, 256, 8, 8)     | Memory: 2464.0 M | <class 'torch.Tensor'> | torch.float32
+ | 308 * Size:(128, 128, 16, 16)   | Memory: 4928.0 M | <class 'torch.Tensor'> | torch.float32
+ | 78 * Size:(128, 3, 32, 32)     | Memory: 117.0 M | <class 'torch.Tensor'> | torch.float32
+ | 385 * Size:(128, 64, 32, 32)    | Memory: 12320. M | <class 'torch.Tensor'> | torch.float32
+ | 77 * Size:(128, 512)           | Memory: 19.25 M | <class 'torch.Tensor'> | torch.float32
- | 304 * Size:(128, 128, 16, 16)   | Memory: 4864.0 M | <class 'torch.Tensor'> | torch.float32
- | 380 * Size:(128, 64, 32, 32)    | Memory: 12160. M | <class 'torch.Tensor'> | torch.float32
- | 76 * Size:(128, 512)           | Memory: 19.0 M | <class 'torch.Tensor'> | torch.float32
- | 77 * Size:(128, 3, 32, 32)     | Memory: 115.5 M | <class 'torch.Tensor'> | torch.float32
- | 228 * Size:(128, 512, 4, 4)     | Memory: 912.0 M | <class 'torch.Tensor'> | torch.float32
- | 76 * Size:(128, 512, 1, 1)     | Memory: 19.0 M | <class 'torch.Tensor'> | torch.float32
- | 304 * Size:(128, 256, 8, 8)     | Memory: 2432.0 M | <class 'torch.Tensor'> | torch.float32

At ./trainer/trainer.py line 116: forward             Total Tensor Used Memory:20939.5Mb Total Allocated Memory:20960.5Mb

+ | 78 * Size:(128, 512)           | Memory: 19.5 M | <class 'torch.Tensor'> | torch.float32
+ | 234 * Size:(128, 512, 4, 4)     | Memory: 936.0 M | <class 'torch.Tensor'> | torch.float32
+ | 79 * Size:(128, 3, 32, 32)     | Memory: 118.5 M | <class 'torch.Tensor'> | torch.float32
+ | 390 * Size:(128, 64, 32, 32)    | Memory: 12480. M | <class 'torch.Tensor'> | torch.float32
+ | 312 * Size:(128, 128, 16, 16)   | Memory: 4992.0 M | <class 'torch.Tensor'> | torch.float32
+ | 78 * Size:(128, 512, 1, 1)     | Memory: 19.5 M | <class 'torch.Tensor'> | torch.float32
+ | 312 * Size:(128, 256, 8, 8)     | Memory: 2496.0 M | <class 'torch.Tensor'> | torch.float32
- | 231 * Size:(128, 512, 4, 4)     | Memory: 924.0 M | <class 'torch.Tensor'> | torch.float32
- | 77 * Size:(128, 512, 1, 1)     | Memory: 19.25 M | <class 'torch.Tensor'> | torch.float32
- | 308 * Size:(128, 256, 8, 8)     | Memory: 2464.0 M | <class 'torch.Tensor'> | torch.float32
- | 308 * Size:(128, 128, 16, 16)   | Memory: 4928.0 M | <class 'torch.Tensor'> | torch.float32
- | 78 * Size:(128, 3, 32, 32)     | Memory: 117.0 M | <class 'torch.Tensor'> | torch.float32
- | 385 * Size:(128, 64, 32, 32)    | Memory: 12320. M | <class 'torch.Tensor'> | torch.float32
- | 77 * Size:(128, 512)           | Memory: 19.25 M | <class 'torch.Tensor'> | torch.float32

At ./trainer/trainer.py line 116: forward             Total Tensor Used Memory:21209.5Mb Total Allocated Memory:21230.7Mb

+ | 316 * Size:(128, 256, 8, 8)     | Memory: 2528.0 M | <class 'torch.Tensor'> | torch.float32
+ | 79 * Size:(128, 512, 1, 1)     | Memory: 19.75 M | <class 'torch.Tensor'> | torch.float32
+ | 237 * Size:(128, 512, 4, 4)     | Memory: 948.0 M | <class 'torch.Tensor'> | torch.float32
+ | 80 * Size:(128, 3, 32, 32)     | Memory: 120.0 M | <class 'torch.Tensor'> | torch.float32
